date,base_inc,base_prev,future3_excl,future3_incl,future7_excl,future7_incl,future14_excl,future14_incl
2023-11-28,149542.23771392173,149984.7993456449,726249.2368948504,594661.9744173728,1361672.7485413249,1381341.3241017126,2396430.3922660104,2395158.690236576
2023-11-29,148191.81456135152,149542.23771392173,583216.2286093016,726249.2368948504,1294595.0525471224,1361672.7485413249,2328204.2721525044,2396430.3922660104
2023-11-30,149678.90727093554,148191.81456135152,577169.4345353048,583216.2286093016,1241146.3666953598,1294595.0525471224,2160447.2756665265,2328204.2721525044
2023-12-01,154152.73182184907,149678.90727093554,492013.4142152342,577169.4345353048,994684.0842905253,1241146.3666953598,2043741.057796933,2160447.2756665265
2023-12-02,154112.31994190393,154152.73182184907,539607.9328164685,492013.4142152342,1064990.4654505386,994684.0842905253,2092069.2604675794,2043741.057796933
2023-12-03,157938.53890901757,154112.31994190393,524690.9037016276,539607.9328164685,1079192.0741684746,1064990.4654505386,2007436.4426078757,2092069.2604675794
2023-12-04,159478.85183343294,157938.53890901757,454467.01701102016,524690.9037016276,1013817.3661348632,1079192.0741684746,1883004.9863286526,2007436.4426078757
2023-12-05,157564.2046884032,159478.85183343294,359260.57264405047,454467.01701102016,1034757.6437246853,1013817.3661348632,1875870.4339976744,1883004.9863286526
2023-12-06,158831.99825625162,157564.2046884032,353611.6415127178,359260.57264405047,1033609.2196053823,1034757.6437246853,1739530.5272872138,1875870.4339976744
2023-12-07,156089.38607541626,158831.99825625162,415215.1420084196,353611.6415127178,919300.9089711672,1033609.2196053823,1771345.7515026527,1739530.5272872138
2023-12-08,151172.52774279032,156089.38607541626,511146.69605957216,415215.1420084196,1049056.9735064078,919300.9089711672,1982758.3966933107,1771345.7515026527
2023-12-09,155899.36439570304,151172.52774279032,509375.11109061533,511146.69605957216,1027078.795017041,1049056.9735064078,1971511.798875465,1982758.3966933107
2023-12-10,158061.85082033306,155899.36439570304,479108.0491385351,509375.11109061533,928244.368439401,1027078.795017041,1955408.399168576,1971511.798875465
2023-12-11,153834.2999400111,158061.85082033306,359950.5598473241,479108.0491385351,869187.6201937892,928244.368439401,1929070.5108280166,1955408.399168576
2023-12-12,158668.2242163792,153834.2999400111,373559.902425773,359950.5598473241,841112.790272989,869187.6201937892,1836137.0304761657,1929070.5108280166
2023-12-13,162424.2488272478,158668.2242163792,347081.21692437655,373559.902425773,705921.3076818314,841112.790272989,1928647.530202413,1836137.0304761657
2023-12-14,160326.34922693833,162424.2488272478,424158.60147665354,347081.21692437655,852044.8425314855,705921.3076818314,2143357.9255301105,1928647.530202413
2023-12-15,160160.42788265765,160326.34922693833,331277.3427469537,424158.60147665354,933701.4231869029,852044.8425314855,2155338.78570105,2143357.9255301105
2023-12-16,157053.20072159072,160160.42788265765,323409.1063465634,331277.3427469537,944433.0038584241,933701.4231869029,2179074.366396701,2155338.78570105
2023-12-17,156484.69198303614,157053.20072159072,256784.9883809653,323409.1063465634,1027164.0307291751,944433.0038584241,2220532.4469409436,2179074.366396701
2023-12-18,157032.59952534604,156484.69198303614,342807.7821850203,256784.9883809653,1059882.8906342278,1027164.0307291751,2210270.5975905745,2220532.4469409436
2023-12-19,158197.31816825503,157032.59952534604,466148.5353396869,342807.7821850203,995024.2402031771,1059882.8906342278,2235605.7806099476,2210270.5975905745
2023-12-20,148758.27740962984,158197.31816825503,585592.9131009694,466148.5353396869,1222726.222520582,995024.2402031771,2400349.980122347,2235605.7806099476
2023-12-21,151246.40569351488,148758.27740962984,599277.7896743432,585592.9131009694,1291313.0829986252,1222726.222520582,2380433.2848870223,2400349.980122347
2023-12-22,157351.07409089996,151246.40569351488,457458.8101942786,599277.7896743432,1221637.3625141475,1291313.0829986252,2413086.9566229535,2380433.2848870223
2023-12-23,155329.76359724515,157351.07409089996,374000.3426913161,457458.8101942786,1234641.3625382772,1221637.3625141475,2416724.890220654,2413086.9566229535
2023-12-24,159638.0207541966,155329.76359724515,452347.18017237226,374000.3426913161,1193368.4162117688,1234641.3625382772,2307513.726241172,2416724.890220654
2023-12-25,154436.75718087828,159638.0207541966,574237.9745494174,452347.18017237226,1150387.706956347,1193368.4162117688,2432967.8937978363,2307513.726241172
2023-12-26,151163.12224079203,154436.75718087828,692761.6576506575,574237.9745494174,1240581.5404067705,1150387.706956347,2556098.463296626,2432967.8937978363
2023-12-27,152030.42151267565,151163.12224079203,597508.0531186643,692761.6576506575,1177623.757601765,1240581.5404067705,2463567.969372873,2556098.463296626
2023-12-28,153707.3286141656,152030.42151267565,501333.12288748694,597508.0531186643,1089120.2018883973,1177623.757601765,2425616.095932691,2463567.969372873
2023-12-29,149967.13726778512,153707.3286141656,386209.15463647817,501333.12288748694,1191449.5941088062,1089120.2018883973,2407584.4114941065,2425616.095932691
2023-12-30,152540.84381658144,149967.13726778512,379940.52055980964,386209.15463647817,1182083.5276823773,1191449.5941088062,2271788.7502240296,2407584.4114941065
2023-12-31,150998.88891245783,152540.84381658144,436602.52156236867,379940.52055980964,1114145.310029403,1182083.5276823773,2271597.0048194034,2271788.7502240296
2024-01-01,146188.41371140096,150998.88891245783,512970.4694814678,436602.52156236867,1282580.1868414897,1114145.310029403,2305505.744638833,2271597.0048194034
2024-01-02,146838.43623598648,146188.41371140096,643629.7113526931,512970.4694814678,1315516.9228898555,1282580.1868414897,2260394.060109908,2305505.744638833
2024-01-03,147852.87526462716,146838.43623598648,601967.8231992763,643629.7113526931,1285944.2117711084,1315516.9228898555,2270673.4542028476,2260394.060109908
2024-01-04,148277.82272820268,147852.87526462716,526358.2310284927,601967.8231992763,1336495.8940442929,1285944.2117711084,2267603.7297913423,2270673.4542028476
2024-01-05,156994.47690415228,148277.82272820268,477339.7473691617,526358.2310284927,1216134.8173852998,1336495.8940442929,2094265.253042853,2267603.7297913423
2024-01-06,156722.73889629,156994.47690415228,513373.915767288,477339.7473691617,1089705.2225416524,1216134.8173852998,2025897.149845728,2094265.253042853
2024-01-07,152247.21876463384,156722.73889629,608401.423304074,513373.915767288,1157451.6947900006,1089705.2225416524,2082550.2603825019,2025897.149845728
2024-01-08,155787.08587949476,152247.21876463384,566886.1766842711,608401.423304074,1022925.557797343,1157451.6947900006,1942225.6891310373,2082550.2603825019
2024-01-09,156865.55334902828,155787.08587949476,544247.6058481376,566886.1766842711,944877.1372200528,1022925.557797343,1908671.3391328673,1942225.6891310373
2024-01-10,156864.83927054593,156865.55334902828,405728.8339698203,544247.6058481376,984729.2424317392,944877.1372200528,1870762.4236567647,1908671.3391328673
2024-01-11,163177.64362367147,156864.83927054593,347314.03177420027,405728.8339698203,931107.8357470495,984729.2424317392,1708856.5670320506,1870762.4236567647
2024-01-12,162961.54275696987,163177.64362367147,284130.48778120487,347314.03177420027,878130.4356575533,931107.8357470495,1633010.9955648638,1708856.5670320506
2024-01-13,158959.39702216894,162961.54275696987,368545.83044568845,284130.48778120487,936191.9273040758,878130.4356575533,1910529.226817417,1633010.9955648638
2024-01-14,160433.19470572667,158959.39702216894,435678.97094581265,368545.83044568845,925098.5655925015,936191.9273040758,2010860.5435656477,1910529.226817417
2024-01-15,161277.72650819315,160433.19470572667,475068.4546339774,435678.97094581265,919300.1313336946,925098.5655925015,2141516.721814282,2010860.5435656477
2024-01-16,160571.422882852,161277.72650819315,477500.904285638,475068.4546339774,963794.2019128145,919300.1313336946,2208490.1037865514,2141516.721814282
2024-01-17,166822.2655116141,160571.422882852,357191.51884215674,477500.904285638,886033.1812250256,963794.2019128145,2051793.1985425,2208490.1037865514
2024-01-18,166001.32195279872,166822.2655116141,341304.76161965216,357191.51884215674,777748.7312850009,886033.1812250256,2096076.1992381709,2051793.1985425
2024-01-19,160976.8646309217,166001.32195279872,325300.18345734605,341304.76161965216,754880.5599073106,777748.7312850009,2193318.5422527767,2096076.1992381709
2024-01-20,158665.07285951363,160976.8646309217,396148.10505442735,325300.18345734605,974337.2995133412,754880.5599073106,2238815.530154916,2193318.5422527767
2024-01-21,156787.99952227407,158665.07285951363,396613.5865783368,396148.10505442735,1085761.9779731464,974337.2995133412,2226443.0632888786,2238815.530154916
2024-01-22,156256.9136760312,156787.99952227407,333517.05458528385,396613.5865783368,1222216.5904805874,1085761.9779731464,2275984.148703797,2226443.0632888786
2024-01-23,159456.06437248187,156256.9136760312,268587.2622801341,333517.05458528385,1244695.9018737369,1222216.5904805874,2177763.765258852,2275984.148703797
2024-01-24,154797.5140367728,159456.06437248187,445495.6371304724,268587.2622801341,1165760.0173174746,1244695.9018737369,2192122.119476256,2177763.765258852
2024-01-25,147659.73796302645,154797.5140367728,649318.0083077976,445495.6371304724,1318327.4679531702,1165760.0173174746,2318972.3917448614,2192122.119476256
2024-01-26,144306.97882353465,147659.73796302645,792636.2140306229,649318.0083077976,1438437.9823454663,1318327.4679531702,2387216.5959136765,2318972.3917448614
2024-01-27,149368.49918005167,144306.97882353465,666506.707414823,792636.2140306229,1264478.2306415748,1438437.9823454663,2312346.5990347397,2387216.5959136765
2024-01-28,152944.91244232326,149368.49918005167,476611.62592266494,666506.707414823,1140681.085315732,1264478.2306415748,2220651.0017223787,2312346.5990347397
2024-01-29,158822.2309447541,152944.91244232326,429627.9320578664,476611.62592266494,1053767.5582232098,1140681.085315732,2053850.283126011,2220651.0017223787
2024-01-30,159603.005853445,158822.2309447541,462329.3427518634,429627.9320578664,933067.863385115,1053767.5582232098,2054040.0349622562,2053850.283126011
2024-01-31,154373.80902661956,159603.005853445,544213.8504545729,462329.3427518634,1026362.1021587814,933067.863385115,2132661.1182030444,2054040.0349622562
2024-02-01,155845.71175105404,154373.80902661956,471671.6256703597,544213.8504545729,1000644.9237916917,1026362.1021587814,2104831.3746590144,2132661.1182030444
2024-02-02,153127.99268912966,155845.71175105404,407965.7899083665,471671.6256703597,948778.6135682103,1000644.9237916917,2071130.0538063694,2104831.3746590144
2024-02-03,152311.16714288015,153127.99268912966,335096.3401583631,407965.7899083665,1047868.368393165,948778.6135682103,2103888.586567528,2071130.0538063694
2024-02-04,153892.61870254928,152311.16714288015,362292.6427657142,335096.3401583631,1079969.9164066466,1047868.368393165,2145111.4077679827,2103888.586567528
2024-02-05,150650.3513512441,153892.61870254928,376505.2976263481,362292.6427657142,1000082.7249028013,1079969.9164066466,2120453.0494462247,2145111.4077679827
2024-02-06,145944.11087113284,150650.3513512441,478040.0929349585,376505.2976263481,1120972.1715771414,1000082.7249028013,2100700.98168319,2120453.0494462247
2024-02-07,145103.01939760786,145944.11087113284,565720.1166889564,478040.0929349585,1106299.0160442635,1120972.1715771414,2117565.8821385466,2100700.98168319
2024-02-08,143851.0342420326,145103.01939760786,550996.6182853146,565720.1166889564,1104186.450867323,1106299.0160442635,2123079.530973341,2117565.8821385466
2024-02-09,143579.55683851932,143851.0342420326,459269.9012429577,550996.6182853146,1122351.4402381591,1104186.450867323,2136763.4296189733,2123079.530973341
2024-02-10,150816.99378043416,143579.55683851932,408200.1433423396,459269.9012429577,1056020.2181743628,1122351.4402381591,2127262.382638618,2136763.4296189733
2024-02-11,151125.41233171523,150816.99378043416,388621.74240333104,408200.1433423396,1065141.4913613363,1056020.2181743628,2095444.0111386946,2127262.382638618
2024-02-12,149834.53589072474,151125.41233171523,480609.02359086985,388621.74240333104,1120370.3245434228,1065141.4913613363,2196161.1926059267,2095444.0111386946
2024-02-13,152233.21924102886,149834.53589072474,479419.36159597634,480609.02359086985,979728.8101060485,1120370.3245434228,2285172.781421094,2196161.1926059267
2024-02-14,149444.7970266266,152233.21924102886,515441.3188190559,479419.36159597634,1011266.8660942828,979728.8101060485,2366516.596911063,2285172.781421094
2024-02-15,150032.4133534709,149444.7970266266,511951.65877932793,515441.3188190559,1018893.0801060178,1011266.8660942828,2591430.733374865,2366516.596911063
2024-02-16,152301.73557354094,150032.4133534709,457288.7855482213,511951.65877932793,1014411.9893808139,1018893.0801060178,2607293.503702378,2591430.733374865
2024-02-17,155096.57559723014,152301.73557354094,331908.73527402506,457288.7855482213,1071242.1644642549,1014411.9893808139,2501803.898130756,2607293.503702378
2024-02-18,156126.9453948879,155096.57559723014,334747.11713627784,331908.73527402506,1030302.5197773583,1071242.1644642549,2550246.219306277,2501803.898130756
2024-02-19,157015.61421964364,156126.9453948879,379131.7791534647,334747.11713627784,1075790.8680625036,1030302.5197773583,2707567.2307072706,2550246.219306277
2024-02-20,152802.31239078724,157015.61421964364,514102.5408707418,379131.7791534647,1305443.9713150458,1075790.8680625036,2851834.875022254,2707567.2307072706
2024-02-21,153917.4286291001,152802.31239078724,575416.617189028,514102.5408707418,1355249.7308167804,1305443.9713150458,2870656.094647135,2851834.875022254
2024-02-22,158644.71152565008,153917.4286291001,523361.09845066833,575416.617189028,1572537.6532688476,1355249.7308167804,2841062.892971179,2870656.094647135
2024-02-23,161570.71519759463,158644.71152565008,518667.66422991105,523361.09845066833,1592881.5143215638,1572537.6532688476,2792236.8236086783,2841062.892971179
2024-02-24,158557.46363119132,161570.71519759463,566110.5421248161,518667.66422991105,1430561.7336665008,1592881.5143215638,2733992.6137616592,2792236.8236086783
2024-02-25,154146.25045932404,158557.46363119132,659694.3281756999,566110.5421248161,1519943.699528919,1430561.7336665008,2844409.88746331,2733992.6137616592
2024-02-26,151786.12413328348,154146.25045932404,875878.5643598087,659694.3281756999,1631776.362644767,1519943.699528919,2817393.612010505,2844409.88746331
2024-02-27,154971.8862994054,151786.12413328348,801540.08387726,875878.5643598087,1546390.903707208,1631776.362644767,2743766.8000187646,2817393.612010505
2024-02-28,160684.9183969324,154971.8862994054,650728.6200387484,801540.08387726,1515406.3638303548,1546390.903707208,2695290.290220916,2743766.8000187646
2024-02-29,167723.64671549574,160684.9183969324,470767.1447107396,650728.6200387484,1268525.2397023314,1515406.3638303548,2349273.2519099894,2695290.290220916
2024-03-01,167086.5556253124,167723.64671549574,557562.5125531139,470767.1447107396,1199355.3092871143,1268525.2397023314,2279127.0794925545,2349273.2519099894
2024-03-02,164489.01731065297,167086.5556253124,681939.7121655233,557562.5125531139,1303430.880095158,1199355.3092871143,2334980.1041333433,2279127.0794925545
2024-03-03,167691.3438240807,164489.01731065297,655156.9924771356,681939.7121655233,1324466.1879343907,1303430.880095158,2278944.1973062125,2334980.1041333433
2024-03-04,172429.2957197677,167691.3438240807,512627.44141737313,655156.9924771356,1185617.2493657381,1324466.1879343907,2073594.630709295,2278944.1973062125
2024-03-05,176876.280596623,172429.2957197677,454504.4894571663,512627.44141737313,1197375.8963115567,1185617.2493657381,2005325.1358294745,2073594.630709295
2024-03-06,178150.7848852029,176876.280596623,438753.1363035518,454504.4894571663,1179883.9263905617,1197375.8963115567,1902935.1100996751,2005325.1358294745
2024-03-07,177290.80085516142,178150.7848852029,526708.0929427989,438753.1363035518,1080748.0122076585,1179883.9263905617,1933231.9609589232,1902935.1100996751
2024-03-08,176035.723329559,177290.80085516142,543824.4526317377,526708.0929427989,1079771.7702054405,1080748.0122076585,2002039.888632448,1933231.9609589232
2024-03-09,173616.24987143843,176035.723329559,575884.728381922,543824.4526317377,1031549.2240381853,1079771.7702054405,2043048.9891608178,2002039.888632448
2024-03-10,176423.35352150016,173616.24987143843,510574.7309333066,575884.728381922,954478.0093718218,1031549.2240381853,2126721.2635700516,2043048.9891608178
2024-03-11,179055.52873630114,176423.35352150016,407758.20425929356,510574.7309333066,887977.3813435567,954478.0093718218,2046015.3734395055,2126721.2635700516
2024-03-12,179604.98505142354,179055.52873630114,336900.36335104995,407758.20425929356,807949.2395179179,887977.3813435567,1950978.5732847909,2046015.3734395055
2024-03-13,180778.81739757067,179604.98505142354,290418.4339511754,336900.36335104995,723051.1837091136,807949.2395179179,1994689.6761620678,1950978.5732847909
2024-03-14,176453.7137601734,180778.81739757067,400438.09010696213,290418.4339511754,852483.9487512648,723051.1837091136,2205105.7065908075,1994689.6761620678
2024-03-15,174515.02082839046,176453.7137601734,352030.063769854,400438.09010696213,922268.1184270078,852483.9487512648,2256323.8910434623,2205105.7065908075
2024-03-16,172742.2857951464,174515.02082839046,352284.74386165454,352030.063769854,1011499.765122633,922268.1184270078,2249602.261550753,2256323.8910434623
2024-03-17,172471.0863075889,172742.2857951464,279147.90527059854,352284.74386165454,1172243.2541982303,1011499.765122633,2319190.6465222673,2249602.261550753
2024-03-18,170755.78076487733,172471.0863075889,372264.7716670016,279147.90527059854,1158037.9920959487,1172243.2541982303,2556318.79854293,2319190.6465222673
2024-03-19,173470.00038756174,170755.78076487733,451219.2422601399,372264.7716670016,1143029.333766873,1158037.9920959487,2667343.711202966,2556318.79854293
2024-03-20,170485.40016952893,173470.00038756174,578867.0153646948,451219.2422601399,1271638.4924529544,1143029.333766873,2795437.7272447636,2667343.711202966
2024-03-21,170510.53049750364,170485.40016952893,720197.3955539276,578867.0153646948,1352621.7578395426,1271638.4924529544,2859441.048113416,2795437.7272447636
2024-03-22,171224.16829432594,170510.53049750364,587799.9374387951,720197.3955539276,1334055.7726164549,1352621.7578395426,2846602.2933889953,2859441.048113416
2024-03-23,170608.62867580276,171224.16829432594,483814.3125058947,587799.9374387951,1238102.4964281204,1334055.7726164549,2697667.6089341897,2846602.2933889953
2024-03-24,177540.39825119148,170608.62867580276,378543.14352532255,483814.3125058947,1146947.3923240372,1238102.4964281204,2473864.161278856,2697667.6089341897
2024-03-25,173693.1780517861,177540.39825119148,566848.5374105953,378543.14352532255,1398280.8064469814,1146947.3923240372,2605602.2708653687,2473864.161278856
2024-03-26,167669.47761798414,173693.1780517861,642245.6811097218,566848.5374105953,1524314.377436093,1398280.8064469814,2621895.7228265936,2605602.2708653687
2024-03-27,167499.28451367802,167669.47761798414,545331.0193398604,642245.6811097218,1523799.2347918095,1524314.377436093,2668466.483121438,2621895.7228265936
2024-03-28,162656.39137502847,167499.28451367802,514523.0300384223,545331.0193398604,1506819.2902738736,1523799.2347918095,2486185.1990537667,2668466.483121438
