date,net_sales,gross_total,vat,discount,quantity,line_items,transactions,customers,products,families,classes,return_line_share,baseline28_daily,future7_sales,future_ratio,target,mean7,recent7_28,simple_risk
2023-08-20,19134.55,22004.73,2870.1800000000003,-945.89,16.0,16.0,12.0,3.0,13.0,5.0,11.0,0.125,47202.39071428571,203784.76,0.6167507223869881,1.0,27556.864285714288,0.5838023004494612,-0.5838023004494612
2023-08-21,10495.67,12070.04,1574.37,-804.34,7.0,7.0,4.0,3.0,7.0,3.0,6.0,0.0,41198.485714285714,316248.17000000004,1.0966012273682737,0.0,23771.492857142857,0.5769991892905911,-0.5769991892905911
2023-08-22,16935.38,19475.7,2540.32,-2394.2,15.0,15.0,10.0,2.0,11.0,4.0,9.0,0.0,39810.91821428571,312386.2,1.1209638461437503,0.0,20499.402857142857,0.514919117082481,-0.514919117082481
2023-08-23,36733.97,42244.08,5510.11,-1589.79,27.0,34.0,19.0,5.0,28.0,5.0,15.0,0.17647058823529413,39394.58214285714,331490.97,1.202090497759708,0.0,23841.891428571427,0.6052073694325081,-0.6052073694325081
2023-08-24,6540.85,7522.02,981.1700000000001,-1934.81,7.0,9.0,5.0,2.0,9.0,3.0,5.0,0.1111111111111111,37470.08178571429,351500.51,1.3401187341569434,0.0,17524.72857142857,0.46769923459601276,-0.46769923459601276
2023-08-25,12384.34,14242.02,1857.6799999999998,-521.76,10.0,9.0,7.0,2.0,8.0,3.0,7.0,0.0,37588.67607142857,339116.17000000004,1.2888234491366053,0.0,18843.854285714282,0.5013173182770764,-0.5013173182770764
2023-08-26,28422.0,32685.34,4263.34,-10691.14,26.0,24.0,16.0,3.0,21.0,4.0,8.0,0.0,37998.87142857142,330143.71,1.2411786289893574,0.0,18663.822857142855,0.4911678203976735,-0.4911678203976735
2023-08-27,92272.55,106113.46,13840.91,-26402.37,64.0,40.0,18.0,4.0,29.0,5.0,12.0,0.0,40040.19035714286,270414.61,0.9647970758095349,0.0,29112.108571428573,0.7270721820191146,-0.7270721820191146
2023-08-28,122959.08,141402.95,18443.87,-17320.27,134.0,58.0,29.0,5.0,36.0,5.0,12.0,0.05172413793103448,43742.02964285714,179785.64,0.5871621199757675,1.0,45178.31,1.0328352472180586,-1.0328352472180586
2023-08-29,13073.41,15034.43,1961.02,-3323.96,10.0,27.0,18.0,5.0,23.0,5.0,12.0,0.2962962962962963,42463.217500000006,208186.77000000005,0.7003936322737944,1.0,44626.6,1.050947210959697,-1.050947210959697
2023-08-30,55838.74,64214.6,8375.86,-10182.2,42.0,30.0,20.0,4.0,26.0,5.0,9.0,0.0,41337.54071428572,182461.1,0.6305617358500333,1.0,47355.85285714286,1.1455895062663293,-1.1455895062663293
2023-08-31,26550.39,30532.95,3982.56,-4671.34,21.0,20.0,13.0,5.0,20.0,5.0,11.0,0.0,39700.744642857135,179567.78000000003,0.6461475781063303,1.0,50214.35857142857,1.2648215801277929,-1.2648215801277929
2023-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39153.55607142857,191473.56000000003,0.6986176597697655,1.0,48445.16714285715,1.237312060607668,-1.237312060607668
2023-09-02,19449.54,22367.010000000002,2917.47,-824.81,17.0,17.0,12.0,3.0,17.0,4.0,10.0,0.0,38238.326428571425,181888.35,0.6795289550273019,1.0,47163.387142857144,1.2334061541881962,-1.2334061541881962
2023-09-03,32543.45,37424.96,4881.51,-6265.32,22.0,14.0,10.0,4.0,12.0,4.0,8.0,0.0,35648.71142857143,209913.07,0.8411967845922542,1.0,38630.65857142857,1.0836481046119157,-1.0836481046119157
2023-09-04,32330.11,37179.61,4849.5,-3563.79,25.0,23.0,19.0,6.0,22.0,4.0,12.0,0.0,34091.38857142857,214939.12,0.9006845968474988,0.0,25683.662857142856,0.7533768477435356,-0.7533768477435356
