origin_week_start,forecast_h1_week_start,forecast_h2_week_start,predicted_value_h1,predicted_value_h2,predicted_count_h1,predicted_count_h2,actual_value_h1,actual_value_h2,actual_count_h1,actual_count_h2,predicted_value_h1_index_52median,predicted_value_h2_index_52median,predicted_count_h1_index_52median,predicted_count_h2_index_52median,predicted_value_h1_change_vs_last,predicted_value_h2_change_vs_last,predicted_count_h1_change_vs_last,predicted_count_h2_change_vs_last
2023-10-15,2023-10-22,2023-10-29,11109501.190787783,12173949.480915984,173308.99018574107,185056.13927249893,12301917.000000015,12779797.99999998,186331.00000000012,193289.99999999997,0.9790439660963957,1.0728503087732213,1.0421905322878358,1.112831804540774,0.10470181514215282,0.21054796773131335,0.01969257943387981,0.08880890594661706
2023-10-22,2023-10-29,2023-11-05,11724671.371467633,11753666.342840772,186180.7059948485,181621.54128537347,12779797.99999998,11500109.999999983,193289.99999999997,185865.00000000003,1.033256899978293,1.0358121318723719,1.113504319581636,1.0862369957708375,-0.04692322574866725,-0.04456627834175986,-0.0008065968902194465,-0.02527469242706004
2023-10-29,2023-11-05,2023-11-12,11922131.631169153,11409104.578804415,185391.23517926584,179074.70545476244,11500109.999999983,11271436.000000004,185865.00000000003,180220.99999999985,1.0506584261570657,1.0054470317446491,1.1025709147742915,1.0650048348578898,-0.06711110526401487,-0.10725470161543904,-0.04086483946781605,-0.07354386954957604
2023-11-05,2023-11-12,2023-11-19,11146030.025393205,11837667.772564465,177383.3112295666,181090.54510737996,11271436.000000004,11247844.000000002,180220.99999999985,171929.99999999988,0.9748217092011477,1.0353117212780472,1.0485661325583615,1.0704807076263465,-0.03078926850324004,0.029352569024510666,-0.04563359842053849,-0.02568775666542944
2023-11-12,2023-11-19,2023-11-26,11154781.860605843,12346000.637087952,182342.22315382393,187961.37415463413,11247844.000000002,14874136.000000019,171929.99999999988,204688.00000000017,0.9755871367965512,1.0797700540394843,1.0689260932489406,1.1018666652282836,-0.010349536598012632,0.09533520281603458,0.011770121982587645,0.042949346383796216
2023-11-19,2023-11-26,2023-12-03,12575837.633237028,12315534.554216644,187016.33373440136,184963.36066922752,14874136.000000019,12067066.000000006,204688.00000000017,187764.99999999997,1.0998713899333643,1.0771055179751088,1.092216063135095,1.0802262539339853,0.1180665052997738,0.09492401870230815,0.08774695361136131,0.07580620409019678
2023-11-26,2023-12-03,2023-12-10,11902787.082319401,11494615.817046296,187298.2311882437,187055.9311891916,12067066.000000006,11637501.000000002,187764.99999999997,186656.99999999994,1.0410069972366338,1.0053087073922828,1.0930421125047047,1.09162808899181,-0.19976615231167705,-0.2272078312954584,-0.08495744162704366,-0.08614119445599355
2023-12-03,2023-12-10,2023-12-17,11417901.873516649,10955522.50324554,185768.05629029518,176165.01821223073,11637501.000000002,10701068.000000006,186656.99999999994,171769.99999999988,0.9888612178354621,0.9488162925721958,1.0827979010060163,1.026824071695125,-0.053796351696704936,-0.09211381596441592,-0.010635335178040717,-0.061779254854574917
2023-12-10,2023-12-17,2023-12-24,11036476.4447985,12252345.06793869,173598.87308621712,182927.1185587459,10701068.000000006,13989325.999999976,171769.99999999988,198190.99999999988,0.9501743850982395,1.0548533763624268,1.010494266957421,1.064792652673787,-0.051645499768507075,0.052832998075676985,-0.06995787414231924,-0.01998254253124243
2023-12-17,2023-12-24,2023-12-31,11737914.068924008,11595141.242343018,187997.73562285758,185702.51998996292,13989325.999999976,13393809.999999983,198190.99999999988,198013.00000000006,1.0105639547694856,0.9982720712699048,1.0939641293154354,1.0806082047713874,0.09689183069615193,0.08354990757399339,0.09447363115129281,0.08111148623137288
2023-12-24,2023-12-31,2024-01-07,12385505.502606474,11662407.087721974,190410.74951016982,187059.39190304975,13393809.999999983,12347100.999999998,198013.00000000006,191672.99999999994,1.0663176906082574,1.0040632568526173,1.105410046879569,1.0859540845500948,-0.11464601635515004,-0.16633531252885425,-0.039256325917070845,-0.05616606252024692
2023-12-31,2024-01-07,2024-01-14,11870681.86561375,10808701.427340237,187365.82686093778,174758.85845488307,12347100.999999998,10607691.000000017,191672.99999999994,172823.00000000006,1.0194107470734093,0.9282117507382671,1.0850716188754534,1.0120622347916506,-0.11371880998657224,-0.19300770823684688,-0.05377007135421519,-0.11743744877920603
2024-01-07,2024-01-14,2024-01-21,11514436.131745273,12011550.645142628,178559.59843800013,182246.07789333828,10607691.000000017,11039904.000000011,172823.00000000006,178011.00000000012,0.9867270470710937,1.0293271648926172,1.0316533786955249,1.0529525360573273,-0.06743808674236385,-0.027176448532928665,-0.06841548659435537,-0.04918231627126257
2024-01-14,2024-01-21,2024-01-28,11854917.718830569,12850883.467154227,179297.76941411098,187645.05864493945,11039904.000000011,14327397.999999987,178011.00000000012,204897.00000000015,1.0159045410588805,1.1012536046676427,1.035774642061818,1.0839956017731402,0.11757758769845084,0.2114684965044915,0.03746474377895881,0.08576438694467425
2024-01-21,2024-01-28,2024-02-04,12564545.294755772,12362126.007576646,191510.3700392753,189574.66497424015,14327397.999999987,11873060.999999983,204897.00000000015,188306.99999999988,1.0767159185767445,1.0593696427171884,1.1028622190187378,1.0917149585181567,0.13810276744759475,0.11976752765029897,0.07583447112411767,0.06496039556117394
2024-01-28,2024-02-04,2024-02-11,12891798.762780603,11543297.131995456,193696.52289408006,179611.57692881624,11873060.999999983,11965426.999999987,188306.99999999988,191199.99999999983,1.1047598318394751,0.9892002840777994,1.1137488810221148,1.032760887155814,-0.10019957826392456,-0.19432006202414032,-0.05466393898358657,-0.12340553093107154
2024-02-04,2024-02-11,2024-02-18,11415231.710657649,10827223.665787404,180910.32394055286,172571.41833797234,11965426.999999987,12137902.00000002,191199.99999999983,186345.99999999988,0.9690388162548398,0.9191228238166489,1.0380083537435758,0.99016225249287,-0.03856034171325751,-0.08808489522732132,-0.039279878387139866,-0.08356344512964287
