origin_week_start,sector,forecast_h1_week_start,forecast_h2_week_start,predicted_value_h1,predicted_value_h2,predicted_count_h1,predicted_count_h2,actual_value_h1,actual_value_h2,actual_count_h1,actual_count_h2,predicted_value_h1_index_52median,predicted_value_h2_index_52median,predicted_count_h1_index_52median,predicted_count_h2_index_52median,predicted_value_h1_change_vs_last,predicted_value_h2_change_vs_last,predicted_count_h1_change_vs_last,predicted_count_h2_change_vs_last
2024-03-03,Transportation,2024-03-10,2024-03-17,636157.5936714526,655750.9170962481,2531.9796147688758,2361.675396423498,673465.0,719752.0,2561.0,2699.0,0.9291034454793776,0.9577193489653478,0.9911840339670682,0.9245157159614399,-0.1094832031184827,-0.0820557483649933,-0.09085112575623855,-0.1520016529897673
2024-03-10,Beverage and Food,2024-03-17,2024-03-24,1819486.1997654962,1912019.1557419228,45095.29819970118,44640.894102410544,1735056.0,2028315.0,40682.0,40927.0,1.0035499295471697,1.0545871077697375,1.0675591112934242,1.0568018205416603,-0.19666575135810827,-0.15581087008804606,-0.01564441195099142,-0.025563299956113172
2024-03-10,Clothing and Footwear,2024-03-17,2024-03-24,910205.9868697966,1159305.0273117488,6749.72008444982,7371.663573345361,1192886.0,1818419.0,7595.0,11482.0,1.1783066993192568,1.5007777359646546,1.1840575536268434,1.2931608759486644,-0.005140416292990224,0.26712605003530276,0.07428299927579496,0.17327129927508533
2024-03-10,Construction & Building Materials,2024-03-17,2024-03-24,310155.53682006715,312674.4327002855,1514.9879536344529,1560.486084227754,291311.0,294121.0,1389.0,1467.0,0.9141324350446068,0.9215564663813219,1.0926707202556458,1.1254858162479293,0.008321099169258162,0.01651007392906778,-0.0046071263899784,0.02528652051757807
2024-03-10,Education,2024-03-17,2024-03-24,185420.4876900749,138614.42757396607,129.2973255645226,104.00727960587977,95603.0,110388.0,87.0,88.0,1.2968508170171873,0.9694842025770912,1.0221132455693487,0.8221919336433183,0.321468190558853,-0.012112636130635068,0.20838622022918307,-0.027969349477759087
2024-03-10,Electronic & Electric Devices,2024-03-17,2024-03-24,224119.66362136533,234000.19408834336,1096.749177831261,1155.6273687188145,213699.0,213469.0,1060.0,1170.0,1.0002930705158815,1.0443919505491683,1.041052850338169,1.0969410239381248,0.0005297459447293207,0.04463906004144347,-0.06340804625853025,-0.013127780769586206
2024-03-10,Furniture,2024-03-17,2024-03-24,300196.32472666,299547.72118574067,1251.6795517613953,1350.406334374132,296724.0,346074.0,1191.0,1475.0,1.0329335904573247,1.0307018363380325,1.1047480598070567,1.1918855554934968,-0.04498875501320243,-0.047052150278551585,-0.0721426599248367,0.0010425013892749746
2024-03-10,Gas Stations,2024-03-17,2024-03-24,768554.100984711,822053.5712593356,15971.475971678114,15642.550177272014,742481.0,804895.0,13622.0,13851.0,1.0057008835866525,1.075708270779917,1.154801053590117,1.1310184141767843,-0.004378481858927086,0.06492727520660524,0.14433445379939203,0.12076736958314926
2024-03-10,Health,2024-03-17,2024-03-24,723482.9476951153,763583.3234894024,7111.632418790276,7211.762309183492,726877.0,875285.0,7166.0,7871.0,0.9552317137737696,1.0081771920535028,0.9279269857502969,0.9409919505719588,0.04319062028424958,0.10101138307035806,-0.01881451175630855,-0.00499968140404361
2024-03-10,Hotels,2024-03-17,2024-03-24,292736.25975510525,317148.46959164896,595.330144703547,701.777304049262,307124.0,362942.0,549.0,633.0,1.0234782052894902,1.108829315300796,0.8845915968849138,1.042759738557596,0.07901709831258219,0.16899977365065455,0.2747968837335055,0.502735126443816
2024-03-10,Jewelry,2024-03-17,2024-03-24,197955.67272840388,231629.23296371015,193.59578388813046,220.19306276250472,302794.0,403931.0,238.0,368.0,0.9770811935320701,1.143289122669461,0.8942068539867457,1.01705802661665,0.04677527750200339,0.2248386281196666,0.15925619094688903,0.31852133390721393
2024-03-10,Miscellaneous Goods and Services,2024-03-17,2024-03-24,1358299.4850924,1599990.0977669058,23502.271615424113,24012.57770815453,1356710.0,1683110.0,19179.0,21039.0,1.0381032769794034,1.2228194016531135,1.1617821308200456,1.1870079689638662,-0.02027646557016638,0.15405179111165856,0.16486278823474,0.19015551685936405
2024-03-10,Other,2024-03-17,2024-03-24,1810630.4165104774,1807110.8015414737,26769.20205511931,27964.979271948345,1778313.0,2235975.0,25124.0,27874.0,0.9575318117811968,0.9556705024453372,1.0466122709903158,1.0933643223188156,-0.04800515238419156,-0.04985569862793604,-0.014497586602388979,0.029524694324940093
2024-03-10,Public Utilities,2024-03-17,2024-03-24,95519.11384720408,123843.0962125556,1267.0308561939678,1327.6066467814915,73599.0,79086.0,1089.0,1108.0,0.883875633021686,1.145968494173192,0.8472289242353512,0.8877343007565974,0.11710422481701954,0.448355626652581,-0.00390655959593722,0.043715917281046845
2024-03-10,Recreation and Culture,2024-03-17,2024-03-24,259663.29905031715,309526.99409980385,2128.708956112702,2214.615015070647,246451.0,308992.0,1882.0,2018.0,0.9219835533883943,1.0990340141772037,0.9035267216098055,0.9399893951912763,0.15889556437897334,0.38144074202919676,0.027865261280879627,0.06934573397906663
2024-03-10,Restaurants & Café,2024-03-17,2024-03-24,1534535.217273818,1682103.856046675,41032.65347175478,45595.2492460269,1279615.0,1496980.0,35823.0,38515.0,0.8750850927436713,0.9592376846770243,0.7981220830311269,0.886868682026918,0.25181933204699636,0.37220058673589373,0.12640423497734643,0.25165392681527665
2024-03-10,Telecommunication,2024-03-17,2024-03-24,94965.76579495295,109574.19771349189,770.0939749855007,876.7616796803748,101985.0,130966.0,871.0,1042.0,0.9826094664054358,1.1337627096014018,1.057095367172959,1.203516375676561,-0.04061416973154841,0.1069666186480096,-0.10454188955174337,0.019490325209738035
